frase,autor
"A igualdade pode ser um direito, mas não há poder sobre a Terra capaz de a tornar um fato.",Honoré de Balzac
"As mentiras sempre foram consideradas instrumentos necessários e legítimos, não somente do ofício do político ou do demagogo, mas também do estadista.",Hannah Arendt (1906-1975)
"Perder tempo em aprender coisas que não interessam, priva-nos de descobrir coisas interessantes.",Carlos Drummond de Andrade
"É tão absurdo dizer que um homem não pode amar a mesma mulher toda a vida, quanto dizer que um violinista precisa de diversos violinos para tocar a mesma música.",Honoré de Balzac
PoéticaDe manhã escureçoDe dia tardoDe tarde anoiteçoDe noite ardo.A oeste a morteContra quem vivoDo sul cativoO este é meu norte.Outros que contemPasso por passo:Eu morro ontemNasço amanhãAndo onde há espaço:– Meu tempo é quando.,Vinicius de Moraes
"Se quiséssemos ser apenas felizes, isso não seria difícil. Mas como queremos ficar mais felizes do que os outros, é difícil, porque achamos os outros mais felizes do que realmente são.",Barão de Montesquieu
"Se queres ser cego, sê-lo-ás.",José Saramago
"Se, de vez em quando, o leite azeda por aí, não tenho nada com isso; a vaca não é minha. Escolham melhor na próxima vez.",Millôr Fernandes
estrela cadenteponto de exclamaçãoquente,Millôr Fernandes
Não nos vemos se não nos saímos de nós.,José Saramago
Eu sinto a nostalgia da imoralidade.,Machado de Assis
Trabalho não mata. Mas vagabundagem nem cansa.,Millôr Fernandes
"Se tens um coração de ferro, bom proveito. O meu, fizeram-no de carne, e sangra todo dia.",José Saramago
Cada segundo que passa é como uma porta que se abre para deixar entrar o que ainda não sucedeu.,José Saramago
"Escrevo sem pensar, tudo o que o meu inconsciente grita. Penso depois: não só para corrigir, mas para justificar o que escrevi.",Mário de Andrade
A humanidade é infeliz por ter feito do trabalho um sacrifício e do amor um pecado,Henrique Jose de Souza
O capitalismo é a exploração do homem pelo homem. O socialismo é o contrário.,Millôr Fernandes
"A verdadeira amizade é aquela que nos permite falar, ao amigo, de todos os seus defeitos e de todas as nossas qualidades.",Millôr
O homem vangloria-se de ter imitado o vôo das aves com uma complicação técnica que elas dispensam.,Carlos Drummond de Andrade
"As pessoas que falam muito, mentem sempre, porque acabam esgotando seu estoque de verdades.",Millôr
O mal de se tratar um inferior como igual é que ele logo se julga superior.,Millôr Fernandes
Há certas mulheres que acabam ficando bonitas de tanto a gente dizer que são.,Millôr
"-Sim! Esqueça tudo, e nem se lembre que já me visse! Seja agora a primeira vez!... Os beijos que lhe guardei ninguém os teve nunca! Esses, acredite, são puros!",José de Alencar
"Há ocasiões que é mil vezes preferível fazer de menos que fazer de mais, entrega-se o assuntto ao governamento da sensibilidade, ela, melhor que a inteligência racional, saberá proceder segundo o que mais convenha à perfeição dos instantes seguintes.",José Saramago
"A diferença fundamental entre Direita e Esquerda é que a Direita acredita cegamente em tudo que lhe ensinaram, e a Esquerda acredita cegamente em tudo que ensina.",Millôr Fernandes
"A vida é assim, está cheia de palavras que não valem a pena, ou que valeram e já não valem, cada uma que ainda formos dizendo tirará o lugar a outra mais merecedora, que o seria não tanto por si mesma, mas pelas consequências de tê-la dito.",José Saramago
"Porque os homens são anjos nascidos sem asas, é o que há de mais bonito, nascer sem asas e fazê-las crescer.",José Saramago
"Não sou nada.Nunca serei nada.Não posso querer ser nada.À parte isso, tenho em mim todos os sonhos do mundo.",Álvaro de Campos
"A leitura é uma fonte inesgotável de prazer mas por incrível que pareça, a quase totalidade, não sente esta sede.",Carlos Drummond de Andrade
Me recusava a acreditar que não seria bem sucedida. Não importava o tempo que fosse levar,Madonna
"Os homens são como as moedas; devemos tomá-los pelo seu valor, seja qual for o seu cunho.",Carlos Drummond de Andrade
As obras-primas devem ter sido geradas por acaso; a produção voluntária não vai além da mediocridade.,Carlos Drummond de Andrade
Todas as nossas palavras serão inúteis se não brotarem do fundo do coração. As palavras que não dão luz aumentam a escuridão.,Madre Teresa de Calcutá
Pais e filhos não foram feitos para ser amigos. Foram feitos para ser pais e filhos.,Millôr Fernandes
Nossa maior tragédia é não saber o que fazer com a vida.,José Saramago
probleminhas terrenos:quem vive maismorre menos?,Millôr Fernandes
Machão não come mel - come abelha.,Millôr Fernandes
A melhor definição de amor não vale um beijo de moça namorada.,Machado de Assis
Chato - Indivíduo que tem mais interesse em nós do que nós temos nele.,Millôr Fernandes
Cada nova geração de computadores desmoraliza as antecedentes e seus criadores.,Carlos Drummond de Andrade
"Não é amigo aquele que alardeia a amizade: é traficante; a amizade sente-se, não se diz...",Machado de Assis
"Um toque simples no amor:Desejo, tesão, paixão...Personalidade, cumplicidade...Pegada, atitude, delírio e seduçãoAgora misture tudo dentro de vocêE deixe extravasar na cama as delícias Do teu prazer.",Hannah Lessa
Especialista é um sujeito que só não ignora uma coisa.,Millôr
"Toda regra tem exceção. E se toda regra tem exceção, então,esta regra também tem exceção e deve haver, perdida por aí,uma regra absolutamente sem exceção.",Millôr Fernandes
"Nunca se pode saber de antemão de que são capazes as pessoas, é preciso esperar, dar tempo ao tempo, o tempo é que manda, o tempo é o parceiro que está a jogar do outro lado da mesa e tem na mão todas as cartas do baralho, a nós compete-nos inventar os encartes com a vida...",José Saramago
Nunca faço planos pro futuroMas ele faz cada um pra mim,Millôr Fernandes
